iteration,statistic,estimate
0,NLL,14.230642892576247
0,MSE,232.2029340788696
0,pinball,6.980199877541806
0,SKCE (unbiased),0.5828960037661286
0,SKCE (biased),0.5993914842732619
0,p-value,0.0
1,NLL,4.135917924068329
1,MSE,228.94479471815248
1,pinball,4.700029701508872
1,SKCE (unbiased),0.09197423125063821
1,SKCE (biased),0.1076539775028058
1,p-value,0.0
2,NLL,4.128831525282911
2,MSE,225.72703981674442
2,pinball,4.666092216347199
2,SKCE (unbiased),0.09091679320035544
2,SKCE (biased),0.10661195655421035
2,p-value,0.0
3,NLL,4.1217441083270305
3,MSE,222.55726015562877
3,pinball,4.63239964039119
3,SKCE (unbiased),0.08975626652414095
3,SKCE (biased),0.1054688484909364
3,p-value,0.0
4,NLL,4.1146464897719985
4,MSE,219.4306182368829
4,pinball,4.598893150276098
4,SKCE (unbiased),0.08854035070543986
4,SKCE (biased),0.10427108827661818
4,p-value,0.0
5,NLL,4.107491691706739
5,MSE,216.32620355210437
5,pinball,4.565354507907394
5,SKCE (unbiased),0.08735640590454524
5,SKCE (biased),0.10310432150330454
5,p-value,0.0
6,NLL,4.100226124572107
6,MSE,213.2217257505776
6,pinball,4.531535375722793
6,SKCE (unbiased),0.08607896281046487
6,SKCE (biased),0.10184571125516156
6,p-value,0.0
7,NLL,4.092799757799026
7,MSE,210.0984774164856
7,pinball,4.49723100760022
7,SKCE (unbiased),0.08471887138787358
7,SKCE (biased),0.10050579815283261
7,p-value,0.0
8,NLL,4.085138188504345
8,MSE,206.92813321922856
8,pinball,4.462133415494783
8,SKCE (unbiased),0.08326215589370622
8,SKCE (biased),0.09907120967253198
8,p-value,0.0
9,NLL,4.077158694732356
9,MSE,203.68023261794625
9,pinball,4.425835164354639
9,SKCE (unbiased),0.08172332165415049
9,SKCE (biased),0.0975559269546181
9,p-value,0.0
10,NLL,4.068796493319715
10,MSE,200.33458940438032
10,pinball,4.388079668593824
10,SKCE (unbiased),0.08010306045964796
10,SKCE (biased),0.09596051565099983
10,p-value,0.0
11,NLL,4.060020573307762
11,MSE,196.8867903237434
11,pinball,4.348775828506934
11,SKCE (unbiased),0.07845174641729953
11,SKCE (biased),0.09433424215181936
11,p-value,0.0
12,NLL,4.050788520858569
12,MSE,193.32905569792075
12,pinball,4.307830301260599
12,SKCE (unbiased),0.07674091436810027
12,SKCE (biased),0.09264928626063
12,p-value,0.0
13,NLL,4.0410418664129
13,MSE,189.64841983246464
13,pinball,4.265042938368461
13,SKCE (unbiased),0.07501472077883603
13,SKCE (biased),0.09094872656760164
13,p-value,0.0
14,NLL,4.030726015971614
14,MSE,185.835678732812
14,pinball,4.220243284891019
14,SKCE (unbiased),0.07326695741070506
14,SKCE (biased),0.0892263951463192
14,p-value,0.0
15,NLL,4.019785817105561
15,MSE,181.8824591324762
15,pinball,4.173208571097194
15,SKCE (unbiased),0.07145756665730424
15,SKCE (biased),0.08744286520458064
15,p-value,0.0
16,NLL,4.0081571941943706
16,MSE,177.78034294286215
16,pinball,4.123756325171561
16,SKCE (unbiased),0.06958363507661869
16,SKCE (biased),0.0855953071069842
16,p-value,0.0
17,NLL,3.995756702197825
17,MSE,173.51632366777756
17,pinball,4.071757960059659
17,SKCE (unbiased),0.06765232740477821
17,SKCE (biased),0.08369060641251337
17,p-value,0.0
18,NLL,3.9825141521837417
18,MSE,169.08527310274673
18,pinball,4.017067760635638
18,SKCE (unbiased),0.06565209337024429
18,SKCE (biased),0.08171733577347025
18,p-value,0.0
19,NLL,3.968343011801222
19,MSE,164.47933770123237
19,pinball,3.959391428993157
19,SKCE (unbiased),0.06358972971984285
19,SKCE (biased),0.07968200088640902
19,p-value,0.0
20,NLL,3.9531795291467198
20,MSE,159.7018033830087
20,pinball,3.8986113292191487
20,SKCE (unbiased),0.061480738823650294
20,SKCE (biased),0.07759962916825473
20,p-value,0.0
21,NLL,3.9369415311540092
21,MSE,154.7532299557597
21,pinball,3.8346883359461263
21,SKCE (unbiased),0.05933307934749687
21,SKCE (biased),0.07547784913742477
21,p-value,0.0
22,NLL,3.9195320742688766
22,MSE,149.63366810194262
22,pinball,3.767267771569671
22,SKCE (unbiased),0.05716162913609283
22,SKCE (biased),0.07333105836038502
22,p-value,0.0
23,NLL,3.9008450025318977
23,MSE,144.34377842413468
23,pinball,3.696178272935066
23,SKCE (unbiased),0.05496713689989584
23,SKCE (biased),0.07115975189190919
23,p-value,0.0
24,NLL,3.880779404308578
24,MSE,138.8908073541827
24,pinball,3.6212236719644464
24,SKCE (unbiased),0.05274073135732071
24,SKCE (biased),0.06895494121465338
24,p-value,0.0
25,NLL,3.859208057709019
25,MSE,133.2796698615234
25,pinball,3.5423528989047774
25,SKCE (unbiased),0.05048435577218019
25,SKCE (biased),0.0667181817917079
25,p-value,0.0
26,NLL,3.835999597414844
26,MSE,127.51978398681923
26,pinball,3.4593427306266937
26,SKCE (unbiased),0.04821043032321126
26,SKCE (biased),0.0644612500030214
26,p-value,0.0
27,NLL,3.811008880117031
27,MSE,121.62264888394118
27,pinball,3.371902764558495
27,SKCE (unbiased),0.045908156258763794
27,SKCE (biased),0.06217294499832585
27,p-value,0.0
28,NLL,3.7840701651294024
28,MSE,115.60052817147388
28,pinball,3.2803385164848207
28,SKCE (unbiased),0.04358048215344929
28,SKCE (biased),0.059855686772087247
28,p-value,0.0
29,NLL,3.754996403215026
29,MSE,109.46814401925253
29,pinball,3.184519631928581
29,SKCE (unbiased),0.041226884450528536
29,SKCE (biased),0.05750821966640275
29,p-value,0.0
30,NLL,3.7236075121023657
30,MSE,103.24763871870574
30,pinball,3.0843841688353564
30,SKCE (unbiased),0.03885694098300658
30,SKCE (biased),0.05513916180446948
30,p-value,0.0
31,NLL,3.689700099592292
31,MSE,96.96252096528468
31,pinball,2.9796855900039874
31,SKCE (unbiased),0.0364685308576254
31,SKCE (biased),0.05274536964720199
31,p-value,0.0
32,NLL,3.6530600113356853
32,MSE,90.64022102385388
32,pinball,2.8702561662506265
32,SKCE (unbiased),0.03405387675938385
32,SKCE (biased),0.050318046713095824
32,p-value,0.0
33,NLL,3.613471943028246
33,MSE,84.31140248675374
33,pinball,2.756787242876502
33,SKCE (unbiased),0.03160084326617267
33,SKCE (biased),0.04784392224140703
33,p-value,0.0
34,NLL,3.5707359591054963
34,MSE,78.01107682865036
34,pinball,2.6390972911825172
34,SKCE (unbiased),0.029107970066030196
34,SKCE (biased),0.04531994498988032
34,p-value,0.0
35,NLL,3.524682165820327
35,MSE,71.77827123369357
35,pinball,2.5173261756451075
35,SKCE (unbiased),0.02657117778381563
35,SKCE (biased),0.042740292604179025
35,p-value,0.0
36,NLL,3.4751987511937408
36,MSE,65.65309526960637
36,pinball,2.39254010942143
36,SKCE (unbiased),0.023994035720046027
36,SKCE (biased),0.04010649171700545
36,p-value,0.001
37,NLL,3.4222868878572963
37,MSE,59.67795285838971
37,pinball,2.2660980335533107
37,SKCE (unbiased),0.021384938606412777
37,SKCE (biased),0.03742495103635891
37,p-value,0.001
38,NLL,3.3661412202282146
38,MSE,53.896611467490246
38,pinball,2.137535381486822
38,SKCE (unbiased),0.018748491032357175
38,SKCE (biased),0.034698968318951307
38,p-value,0.001
39,NLL,3.3073032626002328
39,MSE,48.36064993056075
39,pinball,2.008614121227821
39,SKCE (unbiased),0.016116207411182103
39,SKCE (biased),0.031959827239343715
39,p-value,0.001
40,NLL,3.246680408869959
40,MSE,43.118877434798236
40,pinball,1.8823731239324306
