iteration,statistic,estimate
0,NLL,14.603186496378942
0,MSE,241.85653516350726
0,pinball,7.132557463706512
0,SKCE (unbiased),0.5716629890309204
0,SKCE (biased),0.5795329933968538
0,p-value,0.0
1,NLL,4.156038657931557
1,MSE,238.5407798345267
1,pinball,4.819056885972047
1,SKCE (unbiased),0.09208840577593953
1,SKCE (biased),0.09994412939239432
1,p-value,0.0
2,NLL,4.149124222164482
2,MSE,235.2720572239813
2,pinball,4.785398322209604
2,SKCE (unbiased),0.09104254556454523
2,SKCE (biased),0.09890634090386258
2,p-value,0.0
3,NLL,4.142209420342393
3,MSE,232.051185054495
3,pinball,4.751976068090181
3,SKCE (unbiased),0.08998079856214676
3,SKCE (biased),0.09785271852458709
3,p-value,0.0
4,NLL,4.135285506252859
4,MSE,228.87363109959125
4,pinball,4.718729374272896
4,SKCE (unbiased),0.0889086611276751
4,SKCE (biased),0.09678859141586657
4,p-value,0.0
5,NLL,4.128308159101271
5,MSE,225.71879902992677
5,pinball,4.685455730369884
5,SKCE (unbiased),0.08780357414554515
5,SKCE (biased),0.09569188049390133
5,p-value,0.0
6,NLL,4.121223613776858
6,MSE,222.56310320659463
6,pinball,4.65190677311979
6,SKCE (unbiased),0.08666863153604247
6,SKCE (biased),0.09456556680877422
6,p-value,0.0
7,NLL,4.113978908084731
7,MSE,219.38477961915294
7,pinball,4.617859302666235
7,SKCE (unbiased),0.08548047356615515
7,SKCE (biased),0.09338635370016342
7,p-value,0.0
8,NLL,4.106510773932668
8,MSE,216.15911953909875
8,pinball,4.583049380290191
8,SKCE (unbiased),0.08425073400068289
8,SKCE (biased),0.09216590385940152
8,p-value,0.0
9,NLL,4.098751914883919
9,MSE,212.8618843697295
9,pinball,4.547170711115441
9,SKCE (unbiased),0.08294380149584334
9,SKCE (biased),0.09086896587881702
9,p-value,0.0
10,NLL,4.090639201612149
10,MSE,209.47226817522915
10,pinball,4.509945976565956
10,SKCE (unbiased),0.08155240962416027
10,SKCE (biased),0.0894881449545007
10,p-value,0.0
11,NLL,4.0821305001376285
11,MSE,205.97969838181044
