iteration,statistic,estimate
0,NLL,12.153809485393214
0,MSE,241.48838083541585
0,pinball,6.610357478178063
0,SKCE (unbiased),0.3041876333208284
0,SKCE (biased),0.32191647938419216
0,p-value,0.0
1,NLL,4.156395714562864
1,MSE,238.46247773750912
1,pinball,4.799749110007941
1,SKCE (unbiased),0.1009827541861587
1,SKCE (biased),0.11822893002824898
1,p-value,0.0
2,NLL,4.150328118729272
2,MSE,235.58283502817335
2,pinball,4.770021111693711
2,SKCE (unbiased),0.10092982472311142
2,SKCE (biased),0.11817196716855992
2,p-value,0.0
3,NLL,4.144532590890546
3,MSE,232.86433243832553
3,pinball,4.741761905674384
3,SKCE (unbiased),0.10094845293303682
3,SKCE (biased),0.11818530118774392
3,p-value,0.0
4,NLL,4.138992592399311
4,MSE,230.29476149387793
4,pinball,4.714840724714184
4,SKCE (unbiased),0.10068946418284368
4,SKCE (biased),0.11792670926242398
4,p-value,0.0
5,NLL,4.133633091990086
5,MSE,227.8357109031348
5,pinball,4.688918980591177
5,SKCE (unbiased),0.10022624390946128
5,SKCE (biased),0.11746808982094095
5,p-value,0.0
6,NLL,4.128320426990813
6,MSE,225.42355152095794
6,pinball,4.663385267944872
6,SKCE (unbiased),0.09962719343373769
6,SKCE (biased),0.11687636794208203
6,p-value,0.0
7,NLL,4.123107670390827
7,MSE,223.08302183060042
7,pinball,4.638522834400606
7,SKCE (unbiased),0.09889181049621838
7,SKCE (biased),0.11615116002444471
7,p-value,0.0
8,NLL,4.117852340883209
8,MSE,220.7482600502976
8,pinball,4.613612415765974
8,SKCE (unbiased),0.09808060757321152
8,SKCE (biased),0.11535161832611283
8,p-value,0.0
9,NLL,4.112437121999404
9,MSE,218.36727378188283
9,pinball,4.58809615338283
9,SKCE (unbiased),0.09710577225445016
9,SKCE (biased),0.11439154781695397
9,p-value,0.0
10,NLL,4.106808035583188
10,MSE,215.91924470197551
10,pinball,4.561717772810831
10,SKCE (unbiased),0.09599169387594898
10,SKCE (biased),0.11329480739129312
10,p-value,0.0
11,NLL,4.100955556578613
11,MSE,213.40251580236145
11,pinball,4.534409231467757
11,SKCE (unbiased),0.09493775747674803
11,SKCE (biased),0.112256729745517
11,p-value,0.0
12,NLL,4.094849967198811
12,MSE,210.80794434201752
12,pinball,4.506044777680233
12,SKCE (unbiased),0.0938447760150708
12,SKCE (biased),0.111180090147842
12,p-value,0.0
13,NLL,4.088503227241647
13,MSE,208.14383731975786
13,pinball,4.476686740877415
13,SKCE (unbiased),0.09267973618647525
13,SKCE (biased),0.11003253404786835
13,p-value,0.0
14,NLL,4.081947157195309
14,MSE,205.4278272985213
14,pinball,4.446588402450176
14,SKCE (unbiased),0.09157273400304158
14,SKCE (biased),0.10894161792496992
14,p-value,0.0
15,NLL,4.075080173466842
15,MSE,202.62150126528348
15,pinball,4.415291090299178
15,SKCE (unbiased),0.09035913740854995
15,SKCE (biased),0.10774591912765642
15,p-value,0.0
16,NLL,4.067881231538606
16,MSE,199.72143022864046
16,pinball,4.382719473830847
16,SKCE (unbiased),0.08900915218256794
16,SKCE (biased),0.10641622476292416
16,p-value,0.0
17,NLL,4.060283634399112
17,MSE,196.70573195039088
17,pinball,4.348592762332423
17,SKCE (unbiased),0.08748134098481553
17,SKCE (biased),0.10491183350934404
17,p-value,0.0
18,NLL,4.052246577290091
18,MSE,193.56513629896014
18,pinball,4.312801187030257
18,SKCE (unbiased),0.08589359815344623
18,SKCE (biased),0.1033482122923661
18,p-value,0.0
