iteration,statistic,estimate
0,NLL,11764.150105486015
0,MSE,237.76639123881654
0,pinball,7.331873504540175
0,SKCE (unbiased),1.0496098784657242
0,SKCE (biased),1.0588391946293478
0,p-value,0.0
1,NLL,4.147900280292567
1,MSE,234.60974969916185
1,pinball,4.7789777172518635
1,SKCE (unbiased),0.10205641119463577
1,SKCE (biased),0.11067572625827678
1,p-value,0.0
2,NLL,4.1410852897828025
2,MSE,231.43371706519375
2,pinball,4.745970174141563
2,SKCE (unbiased),0.10056351958407211
2,SKCE (biased),0.10919501008141858
2,p-value,0.0
3,NLL,4.134106925741208
3,MSE,228.2260956245688
3,pinball,4.712415852627973
3,SKCE (unbiased),0.09894133038895596
3,SKCE (biased),0.10758620791853007
3,p-value,0.0
4,NLL,4.127014562920211
4,MSE,225.01162317620535
4,pinball,4.678558459360159
4,SKCE (unbiased),0.09724993591232495
4,SKCE (biased),0.10590883618887757
4,p-value,0.0
5,NLL,4.119895684445226
5,MSE,221.83066099293035
5,pinball,4.644813912344334
5,SKCE (unbiased),0.09551899096941249
5,SKCE (biased),0.10419228069501274
5,p-value,0.0
6,NLL,4.112722225375201
6,MSE,218.67079602121962
6,pinball,4.611038749710959
6,SKCE (unbiased),0.09375215621736138
6,SKCE (biased),0.10244014149115108
6,p-value,0.0
7,NLL,4.1054188067363295
7,MSE,215.4999218854686
7,pinball,4.576921659106362
7,SKCE (unbiased),0.09207271283966949
7,SKCE (biased),0.1007744362799811
7,p-value,0.0
8,NLL,4.0978994412929755
8,MSE,212.28332395230933
8,pinball,4.542071509772458
8,SKCE (unbiased),0.0904531263884489
8,SKCE (biased),0.09916786335859572
8,p-value,0.0
9,NLL,4.0900920167179065
9,MSE,208.99429752568219
9,pinball,4.506110974880553
9,SKCE (unbiased),0.088892642817556
9,SKCE (biased),0.09761963954925203
9,p-value,0.0
10,NLL,4.08191568095366
10,MSE,205.60447429881253
10,pinball,4.4687141924656
10,SKCE (unbiased),0.0873114104066904
10,SKCE (biased),0.09605067521575203
10,p-value,0.0
11,NLL,4.073307470630637
11,MSE,202.09499817629626
11,pinball,4.429662250967268
11,SKCE (unbiased),0.08571665972235425
11,SKCE (biased),0.09446810238499931
11,p-value,0.0
12,NLL,4.0642080137079875
12,MSE,198.45035359407072
12,pinball,4.3887864363722136
12,SKCE (unbiased),0.08409891655439473
12,SKCE (biased),0.09286250726329283
12,p-value,0.0
13,NLL,4.05451380866164
13,MSE,194.63977663878998
13,pinball,4.34569461521519
13,SKCE (unbiased),0.08243583388015088
13,SKCE (biased),0.09121171661488799
13,p-value,0.0
14,NLL,4.044185224500068
14,MSE,190.66031373612293
14,pinball,4.30025634308518
14,SKCE (unbiased),0.08071125692982688
14,SKCE (biased),0.0894997096520133
14,p-value,0.0
15,NLL,4.033168415258102
15,MSE,186.50531999266374
15,pinball,4.252338068067644
15,SKCE (unbiased),0.07897325888508248
15,SKCE (biased),0.08777403715232174
15,p-value,0.0
16,NLL,4.021371352157194
16,MSE,182.1563962094525
16,pinball,4.201549558442497
16,SKCE (unbiased),0.07719095708052115
16,SKCE (biased),0.08600407292178668
16,p-value,0.0
17,NLL,4.008741771686765
17,MSE,177.61290247037925
17,pinball,4.14782587370005
17,SKCE (unbiased),0.07534673523383544
17,SKCE (biased),0.08417232853948904
17,p-value,0.0
18,NLL,3.995238664939825
18,MSE,172.88044106440978
18,pinball,4.091079307430748
18,SKCE (unbiased),0.07347769691723159
18,SKCE (biased),0.08231550078331912
18,p-value,0.0
19,NLL,3.980753178836595
19,MSE,167.94378180088526
19,pinball,4.03101871802642
19,SKCE (unbiased),0.07161253149000091
19,SKCE (biased),0.0804619205487814
19,p-value,0.0
20,NLL,3.9652231978330494
20,MSE,162.8076315409229
20,pinball,3.9676846285568343
20,SKCE (unbiased),0.06971772868381365
20,SKCE (biased),0.07857835328431753
20,p-value,0.0
21,NLL,3.948607103809907
21,MSE,157.4860906780271
21,pinball,3.901010013031922
21,SKCE (unbiased),0.06776978440880034
21,SKCE (biased),0.0766414664676014
21,p-value,0.0
22,NLL,3.9308070546431066
22,MSE,151.97819291310554
22,pinball,3.830724204697546
22,SKCE (unbiased),0.0657949641940101
22,SKCE (biased),0.07467717038664262
22,p-value,0.0
23,NLL,3.9117399683189116
23,MSE,146.29174338320584
23,pinball,3.7568024819639847
23,SKCE (unbiased),0.06377704933661547
23,SKCE (biased),0.07266932067164256
23,p-value,0.0
24,NLL,3.891292435133814
24,MSE,140.42981180682082
24,pinball,3.6790986397976457
24,SKCE (unbiased),0.06168737279657991
24,SKCE (biased),0.07058941453964078
24,p-value,0.0
25,NLL,3.8693526219927024
25,MSE,134.4010415350897
25,pinball,3.597424500972029
25,SKCE (unbiased),0.05954952120501707
25,SKCE (biased),0.06846067879375602
25,p-value,0.0
26,NLL,3.8458003315793827
26,MSE,128.21693021790944
26,pinball,3.511529668494802
26,SKCE (unbiased),0.05734317135715401
26,SKCE (biased),0.0662628455490069
26,p-value,0.0
27,NLL,3.820481821462776
27,MSE,121.88604812801336
27,pinball,3.4214605119760533
27,SKCE (unbiased),0.05507213178557388
27,SKCE (biased),0.06399950691662588
27,p-value,0.0
28,NLL,3.7932403919962594
28,MSE,115.42300884244402
28,pinball,3.327116169763799
28,SKCE (unbiased),0.05275825687708122
28,SKCE (biased),0.06169208906444516
28,p-value,0.0
29,NLL,3.763942399341527
29,MSE,108.85402149325051
29,pinball,3.22863499846107
29,SKCE (unbiased),0.05039663883298387
29,SKCE (biased),0.05933549945840953
29,p-value,0.0
30,NLL,3.732431288302843
30,MSE,102.20550182209949
30,pinball,3.1260136907632843
30,SKCE (unbiased),0.04799736684751221
30,SKCE (biased),0.056939454337737665
30,p-value,0.0
31,NLL,3.6985275152050696
31,MSE,95.50493905481162
31,pinball,3.0188235406392665
31,SKCE (unbiased),0.04554965309886736
31,SKCE (biased),0.05449294391870118
31,p-value,0.0
32,NLL,3.6620902630528374
32,MSE,88.79261300846784
32,pinball,2.90768670916752
32,SKCE (unbiased),0.0430629184666373
32,SKCE (biased),0.05200495587430752
32,p-value,0.0
33,NLL,3.622928938754617
33,MSE,82.10351351524683
33,pinball,2.792348512705124
33,SKCE (unbiased),0.040531006847983476
33,SKCE (biased),0.04946895471616585
33,p-value,0.0
34,NLL,3.5808670734710084
34,MSE,75.47919689951213
34,pinball,2.6740260336856325
34,SKCE (unbiased),0.037938990833907026
34,SKCE (biased),0.04686966530383366
34,p-value,0.0
35,NLL,3.5357125234845457
35,MSE,68.96147260165208
35,pinball,2.5526054544295307
35,SKCE (unbiased),0.035286298730002025
35,SKCE (biased),0.04420596434518459
35,p-value,0.0
36,NLL,3.487293034021645
36,MSE,62.596477191972554
36,pinball,2.427711708629732
36,SKCE (unbiased),0.03258618428265122
36,SKCE (biased),0.041490359700483
36,p-value,0.0
37,NLL,3.4355338756551346
37,MSE,56.4407087732469
37,pinball,2.301219386665503
37,SKCE (unbiased),0.029814713036746012
37,SKCE (biased),0.03869849830740976
37,p-value,0.0
38,NLL,3.380387701347358
38,MSE,50.54673411139924
38,pinball,2.173805569874553
38,SKCE (unbiased),0.026948724128726887
38,SKCE (biased),0.03580679502479346
38,p-value,0.0
39,NLL,3.3219197666011953
39,MSE,44.96850998917414
39,pinball,2.0460907399018695
39,SKCE (unbiased),0.024001763569751932
39,SKCE (biased),0.03282805205925678
39,p-value,0.0
40,NLL,3.2603950516017006
40,MSE,39.76205385607147
40,pinball,1.9200779778701524
40,SKCE (unbiased),0.02100042650204344
40,SKCE (biased),0.029788257344945307
40,p-value,0.0
41,NLL,3.1963742848258265
41,MSE,34.98332443510586
41,pinball,1.7970822192144198
41,SKCE (unbiased),0.017953046781669472
41,SKCE (biased),0.026695663533589258
41,p-value,0.0
42,NLL,3.1307676647463576
42,MSE,30.68145078670783
42,pinball,1.6798196225658253
42,SKCE (unbiased),0.014904789771672684
42,SKCE (biased),0.023595585361950645
42,p-value,0.0
43,NLL,3.0650765109270846
43,MSE,26.904026393021375
43,pinball,1.569993425869488
43,SKCE (unbiased),0.011894648695359368
43,SKCE (biased),0.020528133788340775
43,p-value,0.0
44,NLL,3.0013764915009715
44,MSE,23.685804835111025
44,pinball,1.4706206088022862
44,SKCE (unbiased),0.009018485828171222
44,SKCE (biased),0.017590744179761995
44,p-value,0.001
45,NLL,2.942449345064755
45,MSE,21.052548542871573
45,pinball,1.3840779686295412
45,SKCE (unbiased),0.006359810274375887
45,SKCE (biased),0.01486982335257668
45,p-value,0.012
46,NLL,2.8914863038135614
46,MSE,19.012478775072193
46,pinball,1.312341563405945
46,SKCE (unbiased),0.004021327896306171
46,SKCE (biased),0.012471405690323727
46,p-value,0.03
47,NLL,2.851699584780536
47,MSE,17.558218012853978
47,pinball,1.2574296237501636
47,SKCE (unbiased),0.002081833619102804
47,SKCE (biased),0.010478168157347806
47,p-value,0.15
48,NLL,2.825441402707138
48,MSE,16.65991840395526
48,pinball,1.2207687459218786
48,SKCE (unbiased),0.0006008601940336336
48,SKCE (biased),0.00895324445673855
48,p-value,0.348
49,NLL,2.813407828220305
49,MSE,16.263748132851937
49,pinball,1.200502053187885
49,SKCE (unbiased),-0.00037143017004500473
49,SKCE (biased),0.007949517159950962
49,p-value,0.522
50,NLL,2.8143915264373076
50,MSE,16.295776869211892
50,pinball,1.1958706518375988
50,SKCE (unbiased),-0.0008460325273543629
50,SKCE (biased),0.0074579361927748595
50,p-value,0.631
51,NLL,2.8254299954853126
51,MSE,16.65953832152132
51,pinball,1.2041538331545263
51,SKCE (unbiased),-0.0008883671653104484
51,SKCE (biased),0.0074127685094667025
51,p-value,0.643
52,NLL,2.8426921511052647
52,MSE,17.24474114435929
52,pinball,1.2214893895286985
52,SKCE (unbiased),-0.0006073897413048119
52,SKCE (biased),0.007702348318485697
52,p-value,0.598
53,NLL,2.862382514845994
53,MSE,17.937400801644575
53,pinball,1.242788741439793
53,SKCE (unbiased),-0.00013870352816699544
